Puesto,Altura (msnm),Nombre,Clasificación,Coordenadas,Última erupción,País,Continente
1,6891 (22 608 pies),Nevado Ojos del Salado,Estratovolcán,"27°06′35″S 68°32′29″O﻿ / ﻿-27.10972, -68.54139",Se calcula entre 1000 y 1500 años, Argentina Chile,América
2,6795 (22 293 pies),Monte Pissis,Estratovolcán,"27°45′16.6″S 68°47′55.8″O﻿ / ﻿-27.754611, -68.798833",Extinto, Argentina,América
3,6759 (22 175 pies),Cerro Bonete Chico,Estratovolcán,"27°52′0″S 68°49′0″O﻿ / ﻿-27.86667, -68.81667",Extinto, Argentina,América
4,6748 (22 139 pies),Nevado Tres Cruces Sur,Estratovolcán,"27°05′53″S 68°46′41″O﻿ / ﻿-27.09806, -68.77806",Activo, Argentina Chile,América
5,6739 (22 109 pies),Volcán Llullaillaco,Estratovolcán,"24°43′47″S 68°32′45″O﻿ / ﻿-24.72972, -68.54583",1877, Argentina Chile,América
6,6658 (21 843 pies),Volcán Walther Penck,Estratovolcán,"27°12′0″S 68°33′0″O﻿ / ﻿-27.20000, -68.55000",Extinto, Argentina,América
7,6638 (21 778 pies),Volcán Incahuasi,Estratovolcán,"27°02′0″S 68°18′0″O﻿ / ﻿-27.03333, -68.30000",Inactivo, Argentina Chile,América
8,6629 (21 749 pies),Nevado Tres Cruces Central,Estratovolcán,"27°04′07″S 68°47′11″O﻿ / ﻿-27.06861, -68.78639",Extinto, Argentina Chile,América
9,6570 (21 555 pies),Volcán Tupungato,Estratovolcán,"33°21′21″S 69°46′10.2″O﻿ / ﻿-33.35583, -69.769500",Extinto, Argentina Chile,América
10,6542 (21 463 pies),Nevado Sajama,Estratovolcán,"18°06′14″S 68°52′53″O﻿ / ﻿-18.10389, -68.88139",Extinto, Bolivia,América
11,6501 (21 328 pies),Volcán Ata,Estratovolcán,"27°10′55″S 68°34′34″O﻿ / ﻿-27.18194, -68.57611",Extinto, Argentina Chile,América
