Country,Date of holiday,Year of event
 Afghanistan,August 19,1919
 Albania,November 28,1912
 Algeria,July 5,1962
 Angola,November 11,1975
 Antigua and Barbuda,November 1,1981
 Argentina,July 9,1816
 Armenia,May 28,1918
 Armenia,September 21,1991
 Australia,January 26,1788
 Austria,October 26,1955
 Azerbaijan,May 28,1918
 Azerbaijan,October 18,1991
" Bahamas, The",July 10,1973
 Bahrain,December 16,1971
 Bangladesh,March 26,1971
 Bangladesh,December 16,1971
 Barbados,November 30,1966
 Belarus,July 3,1991
 Belgium,July 21,1831
 Belize,September 21,1981
 Benin,August 1,1960
 Bhutan,December 17,1907
 Bolivia,August 6,1825
 Bosnia and Herzegovina,March 1,1992
 Botswana,September 30,1966
 Brazil,September 7,1822
 Brunei,February 23,1984
 Bulgaria,March 3,1878
 Bulgaria,September 22,1908
 Burkina Faso,December 11,1958
 Burkina Faso,August 5,1960
 Burundi,July 1,1962
 Cambodia,November 9,1953
 Cameroon,May 20,1960
 Canada,July 1,1867
 Cape Verde,July 5,1975
 Central African Republic,December 1,1958
 Central African Republic,August 13,1960
 Chad,November 28,1958
 Chad,August 11,1960
 Chile,September 18,1810
" China, People's Republic of",October 1,1949
" China, Republic of",October 10,1911
 Colombia,July 20,1810
 Comoros,July 6,1975
" Congo, Democratic Republic of the",June 30,1960
" Congo, Republic of the",November 28,1958
" Congo, Republic of the",August 15,1960
 Costa Rica,September 15,1821
 Croatia,May 30,1990
 Cuba,October 10,1868
 Cyprus,April 1,1955
 Cyprus,October 1,1960
 Czech Republic,October 28,1918
 Czech Republic,January 1,1993
 Denmark,June 5,1849
 Djibouti,June 27,1977
 Dominica,November 3,1978
 East Timor,May 20,2002
 Ecuador,August 10,1809
 Ecuador,May 24,1822
 Egypt,July 23,1952
 El Salvador,September 15,1821
 Equatorial Guinea,October 12,1968
 Eritrea,May 24,1991
 Estonia,February 24,1918
 Estonia,August 20,1991
 Eswatini,September 6,1968
 Fiji,October 10,1970
 Finland,December 6,1917
 France,July 14,1789
 Gabon,August 17,1960
" Gambia, The",February 18,1965
 Georgia,May 26,1918
 Georgia,April 9,1991
 Germany,October 3,1990
 Ghana,March 6,1957
 Greece,March 25,1821
 Grenada,February 7,1974
 Guatemala,September 15,1821
 Guinea,October 2,1958
 Guinea-Bissau,September 24,1973
 Guyana,May 26,1966
 Haiti,January 1,1804
 Honduras,September 15,1821
 Iceland,June 17,1944
 India,January 26,1950
 India,August 15,1947
 Indonesia,August 17,1945
 Iran,April 1,1979
 Iraq,October 3,1932
 Ireland,December 6,1921
 Italy,March 17,1861
 Ivory Coast,August 7,1960
 Jamaica,August 6,1962
 Jordan,May 25,1946
 Kazakhstan,December 16,1991
 Kenya,December 12,1963
 Kiribati,July 12,1979
 North Korea,August 15,1948
 South Korea,March 1,1919
 South Korea,August 15,1948
 Kuwait,February 25,1961
 Kyrgyzstan,August 31,1991
 Laos,December 2,1975
 Latvia,November 18,1918
 Latvia,May 4,1990
 Lebanon,November 22,1943
 Lesotho,October 4,1966
 Liberia,July 26,1847
 Libya,December 24,1951
 Liechtenstein,August 15,1886
 Lithuania,February 16,1918
 Lithuania,March 11,1990
 Madagascar,June 26,1960
 Malawi,July 6,1964
 Malaysia,August 31,1957
 Maldives,July 26,1965
 Mali,September 22,1960
 Malta,September 21,1964
 Marshall Islands,May 1,1979
 Mauritania,November 28,1960
 Mauritius,March 12,1968
 Mexico,September 16,1810
 Micronesia,November 3,1986
 Moldova,August 27,1991
 Mongolia,December 29,1911
 Montenegro,May 21,2006
 Morocco,January 11,1944
 Morocco,November 18,1955
 Mozambique,June 25,1975
 Myanmar,January 4,1948
 Namibia,March 21,1990
 Nauru,January 31,1968
 Netherlands,July 26,1581
 Nicaragua,September 15,1821
 Niger,August 3,1960
 Nigeria,October 1,1960
 North Macedonia,September 8,1991
 Norway,May 17,1814
 Norway,June 7,1905
 Oman,November 18,1650
 Pakistan,August 14,1947
 Palestine,November 15,1988
 Panama,November 28,1821
 Panama,November 3,1903
 Papua New Guinea,September 16,1975
 Peru,July 28,1821
 Philippines,June 12,1898
 Philippines,July 4,1946
 Poland,November 11,1918
 Portugal,December 1,1640
 Qatar,December 18,1878
 Qatar,December 18,1971
 Queensland,December 10,1859
 Romania,May 9,1877
 Russia,June 12,1992
 Rwanda,July 1,1962
 Saint Kitts and Nevis,September 19,1983
 Saint Lucia,February 22,1979
 Saint Vincent and the Grenadines,October 27,1979
 Samoa,June 1,1962
 São Tomé and Príncipe,July 12,1975
 Saudi Arabia,September 23,1932
 Senegal,April 4,1960
 Seychelles,June 29,1976
 Sierra Leone,April 27,1961
 Singapore,August 9,1965
 Slovakia,July 17,1992
 Solomon Islands,July 7,1978
 Somalia,July 1,1960
 Somaliland,May 18,1991
 South Africa,December 11,1931
 South Sudan,July 9,2011
 Spain,October 12,1492
 Sri Lanka,February 4,1948
 Sudan,January 1,1956
 Suriname,November 25,1975
 Sweden,June 6,1905
  Switzerland,August 1,1291
 Syria,April 17,1946
 Tajikistan,September 9,1991
 Tanzania,December 9,1961
 Togo,April 27,1960
 Tonga,June 4,1970
 Trinidad and Tobago,August 31,1962
 Tunisia,March 20,1956
 Turkey,October 29,1923
 Turkmenistan,September 27,1991
 Tuvalu,October 1,1978
 Uganda,October 9,1962
 Ukraine,August 24,1991
 Ukraine,January 22,1919
 United Arab Emirates,December 2,1971
 United States,July 4,1776
 Uruguay,August 25,1825
 Uzbekistan,September 1,1991
 Vanuatu,July 30,1980
  Vatican City,February 11,1929
 Venezuela,July 5,1811
 Vietnam,September 2,1945
 Yemen,November 30,1967
 Zambia,October 24,1964
 Zimbabwe,April 18,1980
