Título,...2,...3,...4,...5,...6
P: ¿Hace 5 años vivía en este distrito?,,,,,
Área Geográfica,,,,,
Toda la Base de Datos,,,,,
,,,,,
,Código,Distrito,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
,10101,"Amazonas, Chachapoyas, distrito: Chachapoyas",2633,22774,7182
,10102,"Amazonas, Chachapoyas, distrito: Asunción",22,220,20
,10103,"Amazonas, Chachapoyas, distrito: Balsas",111,938,87
,10104,"Amazonas, Chachapoyas, distrito: Cheto",44,533,65
,10105,"Amazonas, Chachapoyas, distrito: Chiliquin",49,483,53
,10106,"Amazonas, Chachapoyas, distrito: Chuquibamba",184,1472,125
,10107,"Amazonas, Chachapoyas, distrito: Granada",31,423,26
,10108,"Amazonas, Chachapoyas, distrito: Huancas",31,684,543
,10109,"Amazonas, Chachapoyas, distrito: La Jalca",408,3416,154
,10110,"Amazonas, Chachapoyas, distrito: Leimebamba",284,2850,486
,10111,"Amazonas, Chachapoyas, distrito: Levanto",72,648,74
,10112,"Amazonas, Chachapoyas, distrito: Magdalena",79,645,128
,10113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",113,1021,233
,10114,"Amazonas, Chachapoyas, distrito: Molinopampa",165,1782,229
,10115,"Amazonas, Chachapoyas, distrito: Montevideo",40,403,53
,10116,"Amazonas, Chachapoyas, distrito: Olleros",29,305,41
,10117,"Amazonas, Chachapoyas, distrito: Quinjalca",51,713,5
,10118,"Amazonas, Chachapoyas, distrito: San Francisco de Daguas",14,214,67
,10119,"Amazonas, Chachapoyas, distrito: San Isidro de Maino",48,488,44
,10120,"Amazonas, Chachapoyas, distrito: Soloco",87,1077,60
,10121,"Amazonas, Chachapoyas, distrito: Sonche",24,206,17
,10201,"Amazonas, Bagua, distrito: Bagua",2200,21740,3162
,10202,"Amazonas, Bagua, distrito: Aramango",986,8391,388
,10203,"Amazonas, Bagua, distrito: Copallin",336,4079,180
,10204,"Amazonas, Bagua, distrito: El Parco",106,1065,45
,10205,"Amazonas, Bagua, distrito: Imaza",3587,20563,1012
,10206,"Amazonas, Bagua, distrito: La Peca",546,5299,415
,10301,"Amazonas, Bongara, distrito: Jumbilla",94,1047,196
,10302,"Amazonas, Bongara, distrito: Chisquilla",31,223,52
,10303,"Amazonas, Bongara, distrito: Churuja",23,195,69
,10304,"Amazonas, Bongara, distrito: Corosha",95,586,91
,10305,"Amazonas, Bongara, distrito: Cuispes",47,569,53
,10306,"Amazonas, Bongara, distrito: Florida",540,4731,728
,10307,"Amazonas, Bongara, distrito: Jazan",577,5761,1242
,10308,"Amazonas, Bongara, distrito: Recta",17,172,19
,10309,"Amazonas, Bongara, distrito: San Carlos",27,440,22
,10310,"Amazonas, Bongara, distrito: Shipasbamba",146,1266,127
,10311,"Amazonas, Bongara, distrito: Valera",65,705,104
,10312,"Amazonas, Bongara, distrito: Yambrasbamba",564,4450,563
,10401,"Amazonas, Condorcanqui, distrito: Nieva",2823,14927,876
,10402,"Amazonas, Condorcanqui, distrito: El Cenepa",1531,8263,97
,10403,"Amazonas, Condorcanqui, distrito: Rio Santiago",2339,11518,96
,10501,"Amazonas, Luya, distrito: Lamud",147,1730,350
,10502,"Amazonas, Luya, distrito: Camporredondo",755,5244,474
,10503,"Amazonas, Luya, distrito: Cocabamba",229,1578,74
,10504,"Amazonas, Luya, distrito: Colcamar",158,1610,85
,10505,"Amazonas, Luya, distrito: Conila",164,1599,77
,10506,"Amazonas, Luya, distrito: Inguilpata",20,453,25
,10507,"Amazonas, Luya, distrito: Longuita",88,721,30
,10508,"Amazonas, Luya, distrito: Lonya Chico",62,730,50
,10509,"Amazonas, Luya, distrito: Luya",333,3229,397
,10510,"Amazonas, Luya, distrito: Luya Viejo",45,324,19
,10511,"Amazonas, Luya, distrito: María",62,628,54
,10512,"Amazonas, Luya, distrito: Ocalli",341,2877,338
,10513,"Amazonas, Luya, distrito: Ocumal",330,2942,174
,10514,"Amazonas, Luya, distrito: Pisuquia",495,4104,169
,10515,"Amazonas, Luya, distrito: Providencia",121,1116,79
,10516,"Amazonas, Luya, distrito: San Cristobal",48,471,27
,10517,"Amazonas, Luya, distrito: San Francisco del Yeso",70,565,60
,10518,"Amazonas, Luya, distrito: San Jerónimo",43,554,36
,10519,"Amazonas, Luya, distrito: San Juan de Lopecancha",44,346,29
,10520,"Amazonas, Luya, distrito: Santa Catalina",232,1514,142
,10521,"Amazonas, Luya, distrito: Santo Tomas",282,2513,217
,10522,"Amazonas, Luya, distrito: Tingo",123,981,161
,10523,"Amazonas, Luya, distrito: Trita",133,1112,103
,10601,"Amazonas, Rodríguez de Mendoza, distrito: San Nicolás",462,4277,1277
,10602,"Amazonas, Rodríguez de Mendoza, distrito: Chirimoto",305,1919,274
,10603,"Amazonas, Rodríguez de Mendoza, distrito: Cochamal",50,498,47
,10604,"Amazonas, Rodríguez de Mendoza, distrito: Huambo",134,2334,152
,10605,"Amazonas, Rodríguez de Mendoza, distrito: Limabamba",189,1964,127
,10606,"Amazonas, Rodríguez de Mendoza, distrito: Longar",122,1285,224
,10607,"Amazonas, Rodríguez de Mendoza, distrito: Mariscal Benavides",116,1167,223
,10608,"Amazonas, Rodríguez de Mendoza, distrito: Milpuc",30,387,36
,10609,"Amazonas, Rodríguez de Mendoza, distrito: Omia",1010,6925,858
,10610,"Amazonas, Rodríguez de Mendoza, distrito: Santa Rosa",37,434,41
,10611,"Amazonas, Rodríguez de Mendoza, distrito: Totora",17,257,8
,10612,"Amazonas, Rodríguez de Mendoza, distrito: Vista Alegre",392,2169,251
,10701,"Amazonas, Utcubamba, distrito: Bagua Grande",4810,40854,5177
,10702,"Amazonas, Utcubamba, distrito: Cajaruro",2107,20099,883
,10703,"Amazonas, Utcubamba, distrito: Cumba",796,6646,413
,10704,"Amazonas, Utcubamba, distrito: El Milagro",595,4394,836
,10705,"Amazonas, Utcubamba, distrito: Jamalca",682,5587,351
,10706,"Amazonas, Utcubamba, distrito: Lonya Grande",1031,8241,808
,10707,"Amazonas, Utcubamba, distrito: Yamon",273,2442,212
,20101,"Áncash, Huaraz, distrito: Huaraz",5087,48372,7437
,20102,"Áncash, Huaraz, distrito: Cochabamba",164,1438,37
,20103,"Áncash, Huaraz, distrito: Colcabamba",29,239,26
,20104,"Áncash, Huaraz, distrito: Huanchay",106,1438,56
,20105,"Áncash, Huaraz, distrito: Independencia",6792,60413,8883
,20106,"Áncash, Huaraz, distrito: Jangas",408,4016,357
,20107,"Áncash, Huaraz, distrito: La Libertad",123,921,22
,20108,"Áncash, Huaraz, distrito: Olleros",188,2012,151
,20109,"Áncash, Huaraz, distrito: Pampas Grande",73,858,25
,20110,"Áncash, Huaraz, distrito: Pariacoto",398,3975,233
,20111,"Áncash, Huaraz, distrito: Pira",295,2851,175
,20112,"Áncash, Huaraz, distrito: Tarica",560,5381,397
,20201,"Áncash, Aija, distrito: Aija",123,1723,171
,20202,"Áncash, Aija, distrito: Coris",136,1450,53
,20203,"Áncash, Aija, distrito: Huacllan",37,306,21
,20204,"Áncash, Aija, distrito: La Merced",128,1401,53
,20205,"Áncash, Aija, distrito: Succha",54,611,49
,20301,"Áncash, Antonio Raymondi, distrito: Llamellin",292,2734,262
,20302,"Áncash, Antonio Raymondi, distrito: Aczo",190,1625,103
,20303,"Áncash, Antonio Raymondi, distrito: Chaccho",128,1179,61
,20304,"Áncash, Antonio Raymondi, distrito: Chingas",177,1525,149
,20305,"Áncash, Antonio Raymondi, distrito: Mirgas",476,3542,49
,20306,"Áncash, Antonio Raymondi, distrito: San Juan de Rontoy",122,1013,23
,20401,"Áncash, Asunción, distrito: Chacas",362,3831,370
,20402,"Áncash, Asunción, distrito: Acochaca",229,2501,85
,20501,"Áncash, Bolognesi, distrito: Chiquian",259,3312,452
,20502,"Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta",18,205,21
,20503,"Áncash, Bolognesi, distrito: Antonio Raymondi",61,866,67
,20504,"Áncash, Bolognesi, distrito: Aquia",178,1668,216
,20505,"Áncash, Bolognesi, distrito: Cajacay",138,1393,146
,20506,"Áncash, Bolognesi, distrito: Canis",21,256,35
,20507,"Áncash, Bolognesi, distrito: Colquioc",156,1871,286
,20508,"Áncash, Bolognesi, distrito: Huallanca",576,5266,626
,20509,"Áncash, Bolognesi, distrito: Huasta",117,1217,98
,20510,"Áncash, Bolognesi, distrito: Huayllacayan",81,1132,40
,20511,"Áncash, Bolognesi, distrito: La Primavera",28,422,7
,20512,"Áncash, Bolognesi, distrito: Mangas",23,386,83
,20513,"Áncash, Bolognesi, distrito: Pacllon",64,734,119
,20514,"Áncash, Bolognesi, distrito: San Miguel de Corpanqui",32,436,27
,20515,"Áncash, Bolognesi, distrito: Ticllos",40,547,71
,20601,"Áncash, Carhuaz, distrito: Carhuaz",1355,12776,991
,20602,"Áncash, Carhuaz, distrito: Acopampa",204,2126,142
,20603,"Áncash, Carhuaz, distrito: Amashca",98,1306,27
,20604,"Áncash, Carhuaz, distrito: Anta",221,2055,89
,20605,"Áncash, Carhuaz, distrito: Ataquero",111,1327,31
,20606,"Áncash, Carhuaz, distrito: Marcara",752,8434,292
,20607,"Áncash, Carhuaz, distrito: Pariahuanca",141,1188,52
,20608,"Áncash, Carhuaz, distrito: San Miguel de Aco",230,2085,35
,20609,"Áncash, Carhuaz, distrito: Shilla",206,2488,95
,20610,"Áncash, Carhuaz, distrito: Tinco",281,2773,281
,20611,"Áncash, Carhuaz, distrito: Yungar",273,2619,100
,20701,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Luis",906,9145,442
,20702,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Nicolás",305,2782,44
,20703,"Áncash, Carlos Fermín Fitzcarrald, distrito: Yauya",390,3602,101
,20801,"Áncash, Casma, distrito: Casma",3193,29357,3215
,20802,"Áncash, Casma, distrito: Buena Vista Alta",477,4049,305
,20803,"Áncash, Casma, distrito: Comandante Noel",188,1763,137
,20804,"Áncash, Casma, distrito: Yautan",849,7013,443
,20901,"Áncash, Corongo, distrito: Corongo",114,1446,117
,20902,"Áncash, Corongo, distrito: Aco",29,327,23
,20903,"Áncash, Corongo, distrito: Bambas",56,357,32
,20904,"Áncash, Corongo, distrito: Cusca",277,2299,102
,20905,"Áncash, Corongo, distrito: La Pampa",66,799,161
,20906,"Áncash, Corongo, distrito: Yanac",52,540,42
,20907,"Áncash, Corongo, distrito: Yupan",39,341,313
,21001,"Áncash, Huari, distrito: Huari",855,7585,738
,21002,"Áncash, Huari, distrito: Anra",95,1225,42
,21003,"Áncash, Huari, distrito: Cajay",249,2265,59
,21004,"Áncash, Huari, distrito: Chavin de Huantar",771,6811,389
,21005,"Áncash, Huari, distrito: Huacachi",153,1585,44
,21006,"Áncash, Huari, distrito: Huacchis",109,1236,82
,21007,"Áncash, Huari, distrito: Huachis",349,2856,102
,21008,"Áncash, Huari, distrito: Huantar",216,2296,59
,21009,"Áncash, Huari, distrito: Masin",115,1154,92
,21010,"Áncash, Huari, distrito: Paucas",136,1344,81
,21011,"Áncash, Huari, distrito: Ponto",215,2325,102
,21012,"Áncash, Huari, distrito: Rahuapampa",60,560,85
,21013,"Áncash, Huari, distrito: Rapayan",105,1241,60
,21014,"Áncash, Huari, distrito: San Marcos",1240,12093,3700
,21015,"Áncash, Huari, distrito: San Pedro de Chana",329,2091,114
,21016,"Áncash, Huari, distrito: Uco",95,1106,100
,21101,"Áncash, Huarmey, distrito: Huarmey",2257,20335,2525
,21102,"Áncash, Huarmey, distrito: Cochapeti",58,678,4
,21103,"Áncash, Huarmey, distrito: Culebras",297,2425,375
,21104,"Áncash, Huarmey, distrito: Huayan",45,768,48
,21105,"Áncash, Huarmey, distrito: Malvas",39,662,44
,21201,"Áncash, Huaylas, distrito: Caraz",2236,20178,1714
,21202,"Áncash, Huaylas, distrito: Huallanca",72,739,149
,21203,"Áncash, Huaylas, distrito: Huata",114,1174,56
,21204,"Áncash, Huaylas, distrito: Huaylas",127,1426,61
,21205,"Áncash, Huaylas, distrito: Mato",174,1578,97
,21206,"Áncash, Huaylas, distrito: Pamparomas",746,6894,164
,21207,"Áncash, Huaylas, distrito: Pueblo Libre",545,5663,163
,21208,"Áncash, Huaylas, distrito: Santa Cruz",361,3776,92
,21209,"Áncash, Huaylas, distrito: Santo Toribio",88,924,43
,21210,"Áncash, Huaylas, distrito: Yuracmarca",222,1676,82
,21301,"Áncash, Mariscal Luzuriaga, distrito: Piscobamba",257,2550,217
,21302,"Áncash, Mariscal Luzuriaga, distrito: Casca",331,3294,43
,21303,"Áncash, Mariscal Luzuriaga, distrito: Eleazar Guzmán Barron",102,1194,30
,21304,"Áncash, Mariscal Luzuriaga, distrito: Fidel Olivas Escudero",185,1700,23
,21305,"Áncash, Mariscal Luzuriaga, distrito: Llama",70,921,29
,21306,"Áncash, Mariscal Luzuriaga, distrito: Llumpa",592,4925,112
,21307,"Áncash, Mariscal Luzuriaga, distrito: Lucma",221,2473,38
,21308,"Áncash, Mariscal Luzuriaga, distrito: Musga",70,839,68
,21401,"Áncash, Ocros, distrito: Ocros",96,1011,96
,21402,"Áncash, Ocros, distrito: Acas",52,556,48
,21403,"Áncash, Ocros, distrito: Cajamarquilla",10,286,4
,21404,"Áncash, Ocros, distrito: Carhuapampa",23,418,31
,21405,"Áncash, Ocros, distrito: Cochas",138,1114,169
,21406,"Áncash, Ocros, distrito: Congas",109,1051,59
,21407,"Áncash, Ocros, distrito: Llipa",15,218,46
,21408,"Áncash, Ocros, distrito: San Cristóbal de Rajan",24,386,28
,21409,"Áncash, Ocros, distrito: San Pedro",48,477,97
,21410,"Áncash, Ocros, distrito: Santiago de Chilcas",29,299,101
,21501,"Áncash, Pallasca, distrito: Cabana",257,2012,176
,21502,"Áncash, Pallasca, distrito: Bolognesi",102,834,50
,21503,"Áncash, Pallasca, distrito: Conchucos",842,6310,239
,21504,"Áncash, Pallasca, distrito: Huacaschuque",58,445,20
,21505,"Áncash, Pallasca, distrito: Huandoval",87,851,63
,21506,"Áncash, Pallasca, distrito: Lacabamba",51,426,28
,21507,"Áncash, Pallasca, distrito: Llapo",45,494,58
,21508,"Áncash, Pallasca, distrito: Pallasca",202,2021,141
,21509,"Áncash, Pallasca, distrito: Pampas",370,3475,135
,21510,"Áncash, Pallasca, distrito: Santa Rosa",79,852,95
,21511,"Áncash, Pallasca, distrito: Tauca",208,2343,122
,21601,"Áncash, Pomabamba, distrito: Pomabamba",1272,11873,689
,21602,"Áncash, Pomabamba, distrito: Huayllan",255,2595,104
,21603,"Áncash, Pomabamba, distrito: Parobamba",506,5200,100
,21604,"Áncash, Pomabamba, distrito: Quinuabamba",186,1993,21
,21701,"Áncash, Recuay, distrito: Recuay",369,3694,343
,21702,"Áncash, Recuay, distrito: Catac",346,3310,251
,21703,"Áncash, Recuay, distrito: Cotaparaco",33,357,19
,21704,"Áncash, Recuay, distrito: Huayllapampa",31,561,28
,21705,"Áncash, Recuay, distrito: Llacllin",62,791,59
,21706,"Áncash, Recuay, distrito: Marca",48,1501,59
,21707,"Áncash, Recuay, distrito: Pampas Chico",64,827,32
,21708,"Áncash, Recuay, distrito: Pararin",106,1321,90
,21709,"Áncash, Recuay, distrito: Tapacocha",31,367,23
,21710,"Áncash, Recuay, distrito: Ticapampa",240,2024,198
,21801,"Áncash, Santa, distrito: Chimbote",15563,178798,11852
,21802,"Áncash, Santa, distrito: Cáceres del Perú",414,3823,183
,21803,"Áncash, Santa, distrito: Coishco",1408,13597,974
,21804,"Áncash, Santa, distrito: Macate",270,2782,73
,21805,"Áncash, Santa, distrito: Moro",776,6853,405
,21806,"Áncash, Santa, distrito: Nepeña",1272,11995,1057
,21807,"Áncash, Santa, distrito: Samanco",452,3900,418
,21808,"Áncash, Santa, distrito: Santa",1754,16542,1325
