year,carrier,hour,minute,time_hour,seconds
2013,WN,21,0,2013-01-31T21:00:00Z,:00
2013,B6,23,59,2013-01-31T23:00:00Z,:00
2013,B6,23,59,2013-01-31T23:00:00Z,:00
2013,B6,22,50,2013-01-31T22:00:00Z,:00
2013,B6,21,54,2013-01-31T21:00:00Z,:00
2013,EV,21,59,2013-01-31T21:00:00Z,:00
2013,B6,22,49,2013-01-31T22:00:00Z,:00
2013,B6,22,50,2013-01-31T22:00:00Z,:00
2013,US,5,0,2013-01-31T05:00:00Z,:00
2013,UA,5,25,2013-01-31T05:00:00Z,:00
2013,UA,5,30,2013-01-31T05:00:00Z,:00
2013,B6,5,40,2013-01-31T05:00:00Z,:00
2013,AA,5,40,2013-01-31T05:00:00Z,:00
2013,B6,6,0,2013-01-31T06:00:00Z,:00
2013,FL,6,0,2013-01-31T06:00:00Z,:00
2013,AA,6,0,2013-01-31T06:00:00Z,:00
2013,AA,6,0,2013-01-31T06:00:00Z,:00
2013,DL,6,0,2013-01-31T06:00:00Z,:00
2013,DL,6,0,2013-01-31T06:00:00Z,:00
2013,B6,6,0,2013-01-31T06:00:00Z,:00
2013,B6,6,0,2013-01-31T06:00:00Z,:00
2013,MQ,6,0,2013-01-31T06:00:00Z,:00
2013,EV,6,1,2013-01-31T06:00:00Z,:00
2013,UA,6,1,2013-01-31T06:00:00Z,:00
2013,EV,6,0,2013-01-31T06:00:00Z,:00
2013,US,6,0,2013-01-31T06:00:00Z,:00
2013,B6,6,0,2013-01-31T06:00:00Z,:00
2013,US,6,0,2013-01-31T06:00:00Z,:00
2013,UA,6,0,2013-01-31T06:00:00Z,:00
2013,AA,6,10,2013-01-31T06:00:00Z,:00
2013,WN,6,0,2013-01-31T06:00:00Z,:00
2013,B6,6,0,2013-01-31T06:00:00Z,:00
2013,MQ,6,5,2013-01-31T06:00:00Z,:00
2013,EV,6,7,2013-01-31T06:00:00Z,:00
2013,DL,6,10,2013-01-31T06:00:00Z,:00
2013,UA,6,8,2013-01-31T06:00:00Z,:00
2013,AA,6,10,2013-01-31T06:00:00Z,:00
2013,B6,6,10,2013-01-31T06:00:00Z,:00
2013,MQ,6,15,2013-01-31T06:00:00Z,:00
2013,B6,6,10,2013-01-31T06:00:00Z,:00
2013,WN,6,10,2013-01-31T06:00:00Z,:00
2013,UA,6,8,2013-01-31T06:00:00Z,:00
2013,DL,6,15,2013-01-31T06:00:00Z,:00
2013,9E,6,15,2013-01-31T06:00:00Z,:00
2013,US,6,30,2013-01-31T06:00:00Z,:00
2013,B6,6,25,2013-01-31T06:00:00Z,:00
2013,WN,6,25,2013-01-31T06:00:00Z,:00
2013,MQ,6,30,2013-01-31T06:00:00Z,:00
2013,AA,6,30,2013-01-31T06:00:00Z,:00
2013,B6,6,30,2013-01-31T06:00:00Z,:00
2013,B6,6,30,2013-01-31T06:00:00Z,:00
2013,DL,6,30,2013-01-31T06:00:00Z,:00
2013,EV,6,33,2013-01-31T06:00:00Z,:00
2013,AA,6,35,2013-01-31T06:00:00Z,:00
2013,MQ,6,30,2013-01-31T06:00:00Z,:00
2013,WN,6,30,2013-01-31T06:00:00Z,:00
2013,B6,6,31,2013-01-31T06:00:00Z,:00
2013,B6,6,35,2013-01-31T06:00:00Z,:00
2013,AA,6,30,2013-01-31T06:00:00Z,:00
2013,UA,6,39,2013-01-31T06:00:00Z,:00
2013,EV,6,40,2013-01-31T06:00:00Z,:00
2013,UA,6,35,2013-01-31T06:00:00Z,:00
2013,B6,6,45,2013-01-31T06:00:00Z,:00
2013,UA,6,36,2013-01-31T06:00:00Z,:00
2013,US,6,45,2013-01-31T06:00:00Z,:00
2013,EV,6,45,2013-01-31T06:00:00Z,:00
2013,EV,6,36,2013-01-31T06:00:00Z,:00
2013,UA,6,45,2013-01-31T06:00:00Z,:00
2013,UA,6,35,2013-01-31T06:00:00Z,:00
2013,DL,6,55,2013-01-31T06:00:00Z,:00
2013,AA,7,0,2013-01-31T07:00:00Z,:00
2013,UA,6,34,2013-01-31T06:00:00Z,:00
2013,B6,6,55,2013-01-31T06:00:00Z,:00
2013,DL,7,0,2013-01-31T07:00:00Z,:00
2013,DL,7,0,2013-01-31T07:00:00Z,:00
2013,DL,7,0,2013-01-31T07:00:00Z,:00
2013,UA,7,0,2013-01-31T07:00:00Z,:00
2013,UA,6,54,2013-01-31T06:00:00Z,:00
2013,DL,7,0,2013-01-31T07:00:00Z,:00
2013,B6,7,0,2013-01-31T07:00:00Z,:00
2013,DL,6,59,2013-01-31T06:00:00Z,:00
2013,AA,7,0,2013-01-31T07:00:00Z,:00
2013,B6,7,0,2013-01-31T07:00:00Z,:00
2013,VX,7,5,2013-01-31T07:00:00Z,:00
2013,DL,7,0,2013-01-31T07:00:00Z,:00
2013,UA,6,35,2013-01-31T06:00:00Z,:00
2013,EV,6,25,2013-01-31T06:00:00Z,:00
2013,AA,6,59,2013-01-31T06:00:00Z,:00
2013,UA,6,45,2013-01-31T06:00:00Z,:00
2013,B6,7,5,2013-01-31T07:00:00Z,:00
2013,UA,7,5,2013-01-31T07:00:00Z,:00
2013,WN,7,5,2013-01-31T07:00:00Z,:00
2013,UA,7,5,2013-01-31T07:00:00Z,:00
2013,UA,7,5,2013-01-31T07:00:00Z,:00
2013,UA,7,5,2013-01-31T07:00:00Z,:00
2013,MQ,7,10,2013-01-31T07:00:00Z,:00
2013,UA,7,0,2013-01-31T07:00:00Z,:00
2013,EV,6,34,2013-01-31T06:00:00Z,:00
2013,FL,7,20,2013-01-31T07:00:00Z,:00
2013,UA,7,15,2013-01-31T07:00:00Z,:00
2013,DL,7,20,2013-01-31T07:00:00Z,:00
2013,AA,7,15,2013-01-31T07:00:00Z,:00
2013,AS,7,25,2013-01-31T07:00:00Z,:00
